T,n,rmse_bp,bias_bp,inside,phin
0.10403832886482053,256,46.612543375197816,35.72992223167441,9.375,71.78814945837273
0.1806981520530949,266,29.729413422020677,0.65989661321162,10.526315789473683,26.76580069746886
0.2573579751299185,212,31.059670044123084,-9.540140780878932,9.90566037735849,55.573364421363
0.35044490060966993,210,22.02635075009558,-8.346641144007075,25.238095238095237,17.514908381334443
0.4298425745361712,118,28.14448481970973,-20.728069505525877,0.847457627118644,36.16767794317548
0.5256673520002324,126,28.44078667878674,-17.88023875441652,0.7936507936507936,29.421323963069323
0.6023271741260877,132,29.472064638040308,-17.442735951106606,10.606060606060606,22.27690488905904
0.6789869949434112,134,23.095952209314948,-16.06674624973187,6.7164179104477615,18.260464635244702
0.7748117733527029,146,27.02976739327719,-8.684947921977253,6.164383561643835,23.84673025148879
0.8514715958064945,147,23.621953390895197,8.17182497445376,30.612244897959183,14.585656533467509
0.9281314163454844,147,29.47233571046513,20.95868136409041,8.16326530612245,22.11031126263097
1.0239561947031066,145,36.04615836800883,22.584107366148793,11.03448275862069,26.58561858997301
1.1006160157753697,160,43.58423394326301,42.73882411434044,0.0,27.435704044231453
1.3470225874426425,99,76.68829253650311,71.60961906788503,0.0,39.17060958258636
1.8480492830084605,62,110.58560398287254,104.38048079602954,0.0,12.381064663633861
2.8446269650902916,55,131.65425552589284,129.97066063306406,29.09090909090909,1.3551186057455584
