T,n,medh,rmse,bias,shPhi,shGap
0.10403832886482053,256,5.559514999999987,46.612543375197816,35.72992223167441,24.130443508492583,56.92959695681995
0.1806981520530949,266,5.83819499999999,29.729413422020677,0.65989661321162,9.348339087915884,9.060646322894824
0.2573579751299185,212,4.812770000000091,31.059670044123084,-9.540140780878932,15.469459197349222,0.004338057778878712
0.35044490060966993,210,4.71113250000002,22.02635075009558,-8.346641144007075,4.829473030661831,-1.6963951302287894
0.4298425745361712,118,4.528007500000028,28.14448481970973,-20.728069505525877,5.60370435936361,-0.3252264537915442
0.5256673520002324,126,4.19311000000002,28.44078667878674,-17.88023875441652,4.867493024083371,4.155899536624048
0.6023271741260877,132,4.411520000000002,29.472064638040308,-17.442735951106606,3.861013875512597,5.760059676083152
0.6789869949434112,134,4.925087499999953,23.095952209314948,-16.06674624973187,3.2128407741817733,6.701263344047022
0.7748117733527029,146,4.92000749999999,27.02976739327719,-8.684947921977253,4.571453172048728,9.558491760536894
0.8514715958064945,147,5.774365000000003,23.621953390895197,8.17182497445376,2.815243067817734,4.4351036938321355
0.9281314163454844,147,6.6220300000000005,29.47233571046513,20.95868136409041,4.267610468310967,2.940375460485766
1.0239561947031066,145,7.473895000000008,36.04615836800883,22.584107366148793,5.061594535925548,2.7586708076873845
1.1006160157753697,160,8.33851750000003,43.58423394326301,42.73882411434044,5.763796945857151,-0.3340763207927816
1.3470225874426425,99,10.77669500000003,76.68829253650311,71.60961906788503,5.0917621140761895,-0.2476958931491294
1.8480492830084605,62,29.060952499999974,110.58560398287254,104.38048079602954,1.0079111784271986,0.22871473725648006
2.8446269650902916,55,109.94546999999993,131.65425552589284,129.97066063306406,0.0978616599756071,0.07023344391570129
