model,v0,theta,lam,xi,rho,H,Phi,Phi_per_n,rmse_bp,max_abs_bp,inside_pct,n
rough Heston (H free),0.023678551835350725,0.062489964678026276,2.1172800621606873,0.9218726978526204,-0.7347364287906043,0.49999999999358746,76085.49596702338,32.2396169351794,39.225188515261074,185.3014433053629,9.872881355932202,2360
classical Heston (H = 1/2),0.023678554989113542,0.06249000416482195,2.117277134500454,0.9218722899654771,-0.7347365587372394,0.5,76085.49599648736,32.23961694766413,39.22522238948292,185.30194404645485,9.872881355932202,2360
