H,Phi,Phi_per_n
0.44,80841.98660334144,33.474942692895006
0.46,79041.26754880944,32.729303332840345
0.48,77473.63039719236,32.08017821829912
0.49,76782.61881714805,31.794045058860476
0.5,76156.50997166491,31.534786737749446
