model,v0,theta,lam,xi,rho,H,Phi,Phi_per_n,rmse_bp,max_abs_bp,inside_pct,n
rough Heston (H free),0.14411592355356212,0.13591516550551117,6.618677361945307,1.257764783117263,-0.12341524739208617,0.4999999999969528,2588.5216035783415,19.462568447957455,58.37052709769305,160.66374803438478,20.30075187969925,133
classical Heston (H = 1/2),0.14411593733464578,0.13591516151412797,6.618681960761506,1.2577653735990921,-0.12341525000720749,0.5,2588.521603604855,19.462568448156805,58.370526691643065,160.6637574391462,20.30075187969925,133
