T,k,bid,ask,mid,half_spread
0.197125,-0.232245,0.402496,0.406317,0.4044065,0.0019104999999999817
0.197125,-0.171621,0.388496,0.391536,0.39001600000000003,0.0015199999999999936
0.197125,-0.114462,0.378595,0.381289,0.379942,0.001346999999999987
0.197125,-0.0603953,0.372033,0.374637,0.373335,0.0013019999999999976
0.197125,-0.0395612,0.37021,0.372828,0.371519,0.0013090000000000046
0.197125,-0.0191523,0.368804,0.371482,0.370143,0.001338999999999979
0.197125,-0.00910198,0.368137,0.371091,0.369614,0.001477000000000006
0.197125,-0.00910198,0.368265,0.370964,0.3696145,0.0013495000000000035
0.197125,0.00084841,0.367703,0.370676,0.3691895,0.0014865000000000017
0.197125,0.0107007,0.367356,0.370354,0.36885500000000004,0.0014990000000000003
0.197125,0.0396882,0.36671,0.369851,0.3682805,0.0015705000000000024
0.197125,0.0862082,0.366755,0.370134,0.3684445,0.0016895000000000104
0.197125,0.13066,0.368296,0.371156,0.369726,0.0014299999999999868
0.197125,0.17322,0.37088,0.373019,0.3719495,0.001069500000000001
0.197125,0.214042,0.373637,0.376471,0.375054,0.0014170000000000016
0.197125,0.253262,0.376674,0.381164,0.378919,0.002244999999999997
0.273785,-0.300664,0.397679,0.40168,0.39967949999999997,0.0020004999999999884
0.273785,-0.236126,0.38218,0.385975,0.3840775,0.0018974999999999964
0.273785,-0.175501,0.370565,0.374361,0.372463,0.0018980000000000108
0.273785,-0.118343,0.362682,0.365947,0.3643145,0.001632500000000009
0.273785,-0.0642757,0.357379,0.360273,0.358826,0.0014470000000000038
0.273785,-0.0129824,0.3538,0.356978,0.355389,0.001589000000000007
0.273785,-0.0129824,0.354062,0.356717,0.3553895,0.0013275000000000092
0.273785,0.0358078,0.352162,0.35528,0.35372099999999995,0.0015590000000000048
0.273785,0.0823279,0.351539,0.354935,0.353237,0.001698000000000005
0.273785,0.12678,0.35173,0.355478,0.35360400000000003,0.0018740000000000145
0.273785,0.169339,0.352707,0.356769,0.354738,0.002031000000000005
0.273785,0.210161,0.354404,0.358836,0.35662,0.0022159999999999958
0.273785,0.249382,0.356827,0.361511,0.359169,0.0023420000000000107
0.273785,0.287122,0.359778,0.36478,0.362279,0.0025010000000000032
0.350445,-0.304457,0.383701,0.386741,0.38522100000000004,0.0015199999999999936
0.350445,-0.239918,0.370491,0.373868,0.3721795,0.0016884999999999817
0.350445,-0.179294,0.360782,0.364162,0.362472,0.001689999999999997
0.350445,-0.122135,0.354026,0.357028,0.35552700000000004,0.0015010000000000023
0.350445,-0.068068,0.349361,0.352024,0.35069249999999996,0.0013315000000000132
0.350445,-0.0167747,0.346445,0.348702,0.3475735,0.0011285000000000045
0.350445,-0.0167747,0.34644,0.348708,0.34757400000000005,0.0011339999999999961
0.350445,0.0320154,0.344884,0.346904,0.34589400000000003,0.0010099999999999831
