n,M,Abar,se,t,norm,geo,itostr,chen
5,569,3.813265229192548e-05,2.4210841612410266e-05,1.5750238220706467,0.05717854373458269,1.734723475976807e-18,8.673617379884035e-19,1.734723475976807e-18
10,284,1.0717299776756479e-05,5.924575858410148e-05,0.18089564608313502,0.00852530003797281,6.938893903907228e-18,8.673617379884035e-19,1.0842021724855044e-18
21,135,1.5232246778936286e-05,8.786204506463514e-05,0.1733654932312443,0.008025828301851395,1.734723475976807e-18,4.336808689942018e-19,1.734723475976807e-18
63,45,0.0005275596214531238,0.0002639685614675639,1.998569899839946,0.1204451898611964,3.469446951953614e-18,4.336808689942018e-19,3.686287386450715e-18
