mat,T,k,bid,ask,mid,w,half_spread,in_cone
1,0.10403832886482053,-0.2598751015056642,0.333777623,0.335828136,0.334802879,0.011661965046025246,0.001025256499999988,False
1,0.10403832886482053,-0.2506584467695458,0.327217357,0.32915294,0.328185148,0.011205499331468381,0.0009677915000000092,False
1,0.10403832886482053,-0.2369908073141449,0.317198801,0.318976397,0.318087599,0.010526569050143717,0.000888798000000024,False
1,0.10403832886482053,-0.2279817377355256,0.310960413,0.31263246,0.311796436,0.010114296038161521,0.0008360235000000049,False
1,0.10403832886482053,-0.2190531073485041,0.304451452,0.306027928,0.30523969,0.00969338305748459,0.0007882379999999967,False
1,0.10403832886482053,-0.21461851045690705,0.301295294,0.30282453,0.302059912,0.009492476938420041,0.0007646179999999947,False
1,0.10403832886482053,-0.20580787989413363,0.295135808,0.296572576,0.295854192,0.009106444018244333,0.0007183839999999886,False
1,0.10403832886482053,-0.20230524972952793,0.292797403,0.294890527,0.293843965,0.008983114157833705,0.0010465620000000009,False
1,0.10403832886482053,-0.20143150547136998,0.292116293,0.293508117,0.292812205,0.008920140967341839,0.000695911999999993,False
1,0.10403832886482053,-0.20055852519791498,0.29143271,0.293502355,0.292467532,0.008899153302484966,0.0010348225000000044,False
1,0.10403832886482053,-0.1970742002779101,0.289013847,0.290363077,0.289688462,0.00873083465718692,0.0006746150000000173,False
1,0.10403832886482053,-0.1953365811785731,0.287616322,0.288950689,0.288283506,0.00864635291401897,0.0006671835000000015,False
1,0.10403832886482053,-0.1936019749491852,0.286540812,0.287856761,0.287198786,0.008581408323932624,0.0006579745000000192,False
1,0.10403832886482053,-0.1927357988532883,0.285832075,0.287140853,0.286486464,0.00853889320393108,0.0006543889999999775,False
1,0.10403832886482053,-0.19014176426367468,0.284015493,0.285299522,0.284657508,0.008430215057483285,0.0006420145000000099,False
1,0.10403832886482053,-0.1884161378812483,0.282893106,0.284159924,0.283526515,0.008363358763005566,0.0006334090000000014,False
1,0.10403832886482053,-0.18669348415627404,0.281754235,0.283004254,0.282379245,0.008295812221183899,0.0006250094999999956,False
1,0.10403832886482053,-0.18497379406782732,0.28059921,0.282444832,0.281522021,0.008245521164725536,0.0009228109999999956,False
1,0.10403832886482053,-0.18411505615285378,0.279861641,0.281088788,0.280475215,0.008184315199597355,0.000613573499999992,False
1,0.10403832886482053,-0.18325705503601575,0.279121971,0.281250072,0.280186021,0.008167446438950057,0.0010640504999999967,False
1,0.10403832886482053,-0.18154325814693745,0.277939535,0.280040305,0.27898992,0.00809786238959139,0.001050384999999987,False
1,0.10403832886482053,-0.17983239453038752,0.276741748,0.277931303,0.277336526,0.008002165145656812,0.0005947775000000044,False
1,0.10403832886482053,-0.1781244517746506,0.275528888,0.277576794,0.276552841,0.007957004730050865,0.0010239529999999941,False
1,0.10403832886482053,-0.1764194211143848,0.274592198,0.276323545,0.275457871,0.00789412030512783,0.0008656734999999971,False
1,0.10403832886482053,-0.1755679947200987,0.273826569,0.274977684,0.274402126,0.007833724812740653,0.0005755574999999902,False
1,0.10403832886482053,-0.1747172938269737,0.273346328,0.274488945,0.273917637,0.007806086521549908,0.0005713084999999785,False
1,0.10403832886482053,-0.1730180576655866,0.272086217,0.273214786,0.272650502,0.007734032111556214,0.0005642844999999841,False
1,0.10403832886482053,-0.17132170401036523,0.270812093,0.271926901,0.271369497,0.007661528597226789,0.0005574040000000113,False
1,0.10403832886482053,-0.16962822428323104,0.269800423,0.270899311,0.270349867,0.007604062681379247,0.0005494439999999823,False
1,0.10403832886482053,-0.16793760639902724,0.268495584,0.270389521,0.269442552,0.007553108686467926,0.0009469685000000061,False
1,0.10403832886482053,-0.16709336807111277,0.267973574,0.269051684,0.268512629,0.007501062795027763,0.0005390550000000105,False
1,0.10403832886482053,-0.16624984188038147,0.267446495,0.268783303,0.268114899,0.007478857596250277,0.0006684039999999836,False
1,0.10403832886482053,-0.16456492229077932,0.26637734,0.267695729,0.267036534,0.007418818265295401,0.0006591944999999877,False
1,0.10403832886482053,-0.1628828357036071,0.265026849,0.266070373,0.265548611,0.0073363735403345984,0.0005217620000000089,False
1,0.10403832886482053,-0.16120357378105601,0.263922336,0.264951746,0.264437041,0.007275082880457137,0.0005147050000000042,True
1,0.10403832886482053,-0.15952712822527818,0.262798845,0.263814489,0.263306667,0.007213019047775021,0.0005078219999999911,True
1,0.10403832886482053,-0.15868995761099608,0.262230097,0.263238983,0.26273454,0.007181707424954457,0.0005044429999999933,True
1,0.10403832886482053,-0.1578534872651481,0.261656737,0.262658947,0.262157842,0.007150214566399806,0.0005011050000000017,True
1,0.10403832886482053,-0.1561826426995728,0.260496352,0.261731569,0.26111396,0.007093385292287678,0.0006176085000000053,True
1,0.10403832886482053,-0.1545145863665452,0.259318014,0.260294299,0.259806157,0.007022508047586663,0.0004881425000000106,True
1,0.10403832886482053,-0.15284930664744928,0.258122033,0.259804125,0.258963079,0.006977005539247409,0.000841046000000012,True
1,0.10403832886482053,-0.15118679547513025,0.256908701,0.258569528,0.257739114,0.0069112090575356114,0.0008304134999999879,True
1,0.10403832886482053,-0.15035657638253327,0.256532615,0.257945987,0.257239301,0.006884430329677906,0.0007066859999999842,True
1,0.10403832886482053,-0.14952704482066756,0.255913799,0.257085236,0.256499518,0.006844890017139234,0.0005857184999999987,True
1,0.10403832886482053,-0.14787004321504796,0.254663645,0.256280609,0.255472127,0.006790166370071538,0.0008084819999999993,True
1,0.10403832886482053,-0.14621578272234714,0.253626292,0.254539676,0.254082984,0.00671652336796123,0.00045669200000000854,True
1,0.10403832886482053,-0.14456425544404491,0.252340586,0.253915767,0.253128177,0.0066661387739544485,0.0007875905000000183,True
1,0.10403832886482053,-0.14291545005789486,0.251262285,0.252816083,0.252039184,0.0066089048214611765,0.0007768990000000253,True
1,0.10403832886482053,-0.14209206570519542,0.250825852,0.252148684,0.251487268,0.006579992121955292,0.000661415999999998,True
1,0.10403832886482053,-0.14126935990829728,0.250162515,0.251477478,0.250819997,0.006545121067688828,0.0006574815000000012,True
1,0.10403832886482053,-0.13962597376930855,0.249041672,0.25033918,0.249690426,0.006486301743864965,0.0006487540000000014,True
1,0.10403832886482053,-0.13798528391788586,0.247900129,0.248967974,0.248434052,0.006421191369622883,0.0005339225000000059,True
1,0.10403832886482053,-0.13634728266705395,0.246738242,0.248002105,0.247370173,0.006366313678956731,0.000631931500000002,True
1,0.10403832886482053,-0.13471195893306057,0.245556347,0.247010912,0.246283629,0.006310509956280843,0.0007272824999999955,True
1,0.10403832886482053,-0.13389529883035475,0.245061696,0.246300504,0.2456811,0.006279670601038363,0.000619404000000004,True
1,0.10403832886482053,-0.13307930511719568,0.244354761,0.245790866,0.245072814,0.006248613210679643,0.0007180524999999965,True
1,0.10403832886482053,-0.13144931365604193,0.243337181,0.244753358,0.24404527,0.00619632455030137,0.0007080884999999953,True
1,0.10403832886482053,-0.12982197360537978,0.242094554,0.243294131,0.242694342,0.006127914129411537,0.0005997885000000036,True
1,0.10403832886482053,-0.12819727748836166,0.241031247,0.242410903,0.241721075,0.006078863642548236,0.0006898280000000034,True
1,0.10403832886482053,-0.12657521786267642,0.23994431,0.241305513,0.240624912,0.0060238554752229,0.0006806015000000026,True
1,0.10403832886482053,-0.12576517307110913,0.239392112,0.240744266,0.240068189,0.005996013475776155,0.000676077000000011,True
1,0.10403832886482053,-0.12495578392104299,0.238834161,0.240177381,0.239505771,0.005967952150822087,0.000671610000000003,True
1,0.10403832886482053,-0.12333896830606526,0.237701194,0.239026881,0.238364038,0.005911188866617309,0.000662843499999996,True
