H,Phi,Phi_per_n
0.05,2812.9765729439196,21.150199796570824
0.1,2792.827653685086,20.99870416304576
0.15,2771.781336090213,20.840461173610624
0.2,2749.7311622306206,20.674670392711434
0.25,2726.5567588964414,20.50042675861986
0.3,2702.1224574963817,20.31671020673971
0.35,2676.2763356596824,20.122378463606633
0.4,2648.8500925045287,19.916166109056608
0.45,2619.6606513654997,19.69669662680827
0.5,2588.5147662332693,19.46251703934789
