H,Phi,Phi_per_n,v0,theta,lam,xi,rho
0.03,294052.0098357748,124.59830925244694,0.02175953944051925,0.13481129169161105,0.33136238875467244,0.36941734674863347,-0.7132008837144266
0.076,295204.12837787834,125.08649507537218,0.022265154704758212,0.08919485235595281,0.6535585338706947,0.4449563280330352,-0.7062226652133012
0.122,238847.91608595004,101.20674410421611,0.02287271723178158,0.09205924565411919,0.6036875787399061,0.43977991324284427,-0.7211026433114347
0.168,166163.56492720183,70.40829022339061,0.02323839981975161,0.12213325600887122,0.4115616898504071,0.43551194008544863,-0.7275769850864626
0.214,143892.13196246067,60.97124235697486,0.023169551633425073,0.10614951505084338,0.5408694417842577,0.48375877597314765,-0.734528086139268
0.26,121503.16827411237,51.48439333648829,0.023298804724627642,0.09979967143613228,0.6201734695764971,0.5222797996203461,-0.7306974798545767
0.306,117662.91985163839,49.857169428660335,0.024207207221679072,0.08128125430026248,0.8917469894810488,0.5914394174475588,-0.739218148005254
0.352,105841.19559918562,44.847964236943064,0.02360603024070867,0.07268657489045904,1.2180041842367944,0.6749953005449916,-0.7186721253362975
0.398,85133.27126560059,36.07342002779686,0.02387954640420162,0.07910361035939736,1.098306812172328,0.6923197042016883,-0.7324751408417729
0.444,80651.49548865174,34.17436249519142,0.023654487261211693,0.06975241014815448,1.5268100226852472,0.7923058206569528,-0.7347720059650031
0.49,77149.20384644181,32.69034061289907,0.02370214096927959,0.06462076956593779,1.908943346180878,0.8793779329183375,-0.7345614036162356
