T,n,rmse_bp_rough,bias_bp_rough,inside_rough,phin_rough,rmse_bp_classic,bias_bp_classic,inside_classic,phin_classic
0.1040383288648205,256,46.60008859239732,35.71184062774022,9.375,71.74990079099909,46.60013431811145,35.71188270306964,9.375,71.75005946094782
0.1806981520530949,266,29.729226315146875,0.6468900696485735,10.526315789473683,26.758089455633254,29.729238957543544,0.6469386766142857,10.526315789473683,26.75811337910397
0.2573579751299185,212,31.05972933535789,-9.547896481847467,9.90566037735849,55.56873534669334,31.05972625839019,-9.547848487457355,9.90566037735849,55.568746517797315
0.3504449006096699,210,22.031344511505324,-8.349778388181893,25.238095238095237,17.52066423485266,22.031335277195556,-8.349725331743622,25.238095238095237,17.520658530400752
0.4298425745361712,118,28.146535344989537,-20.726741676378893,0.847457627118644,36.172190585044326,28.146503858086547,-20.726696590238507,0.847457627118644,36.17213381317725
0.5256673520002324,126,28.43573141813008,-17.871864042012614,0.7936507936507936,29.410482988161917,28.43566349982314,-17.871806011780414,0.7936507936507936,29.410339631758344
0.6023271741260877,132,29.459709405256184,-17.428432326140825,10.606060606060606,22.255816583964624,29.45961977903487,-17.428361406220098,10.606060606060606,22.255655264395255
0.6789869949434112,134,23.076496368801134,-16.046735312334775,6.7164179104477615,18.228710507966937,23.07639122535233,-16.04665101005887,6.7164179104477615,18.22853944459887
0.7748117733527029,146,27.007306648923315,-8.656727825409986,6.164383561643835,23.80671118125379,27.007191420372823,-8.656630717489579,6.164383561643835,23.806493766907252
0.8514715958064945,147,23.616642503201646,8.205383818220284,30.612244897959183,14.58973656886469,23.616588979326725,8.205491401400243,30.612244897959183,14.589704155869118
0.9281314163454844,147,29.484651017497033,20.99648340764382,8.16326530612245,22.13221374752638,29.484659382847713,20.9965982985054,8.16326530612245,22.132239314174377
1.0239561947031066,145,36.055778426781444,22.630547417143003,11.03448275862069,26.605592219104498,36.05578126656028,22.630687793085198,11.03448275862069,26.605616337211934
1.1006160157753695,160,43.63877683663397,42.79201076206517,0.0,27.497335772980612,43.638931306948216,42.792163738409776,0.0,27.49750665826133
1.3470225874426425,99,76.7627661516496,71.6765314897401,0.0,39.24494870093982,76.76296239151797,71.67669223464745,0.0,39.24514675010578
1.8480492830084605,62,110.68343495819659,104.47006316380671,0.0,12.40262577425743,110.68366724966064,104.47025242471659,0.0,12.4026767082275
